mobileUsabilityResult.issues[],array<object>,,"Each issue has rule (e.g. 'CONTENT_WIDER_THAN_SCREEN', 'CLICKABLE_ELEMENTS_TOO_CLOSE') and severity",What specifically makes this page mobile-unfriendly?
richResultsResult.verdict,string,,PASS | PARTIAL | FAIL | NEUTRAL,Are my structured data declarations valid?
richResultsResult.detectedItems[],array<object>,,"Each item: richResultType (Article, FAQ, HowTo, Product, etc.), items array, issues array",Which schema types did Google parse and are any of them broken?
ampResult.verdict,string,,PASS | PARTIAL | FAIL,"If using AMP, is the AMP version valid?"
inspectionResultLink,string,,Direct URL to GSC web UI for this inspection,Where do I go to dig deeper in the UI?
,,,,
sitemaps.list / get [GET] GET /webmasters/v3/sites/{siteUrl}/sitemaps[/{feedpath}],,,,
List submitted sitemaps or fetch single sitemap status. Used for migration audits and sitemap health checks.,,,,
INPUTS,,,,
Name,Type,Required,What it is,Why it matters
siteUrl,string (path),Y,Property identifier,Which property's sitemaps?
feedpath,string (path),Get only,Full URL of specific sitemap,Which sitemap do I want detail on?
sitemapIndex,string (query),N,URL of parent sitemap index — restricts list to children of this index,Show me only the sitemaps inside this index file
OUTPUTS,,,,
Name,Type,,What it is,Why it matters
path,string,,Full URL of the sitemap,Where does this sitemap live?
lastSubmitted,datetime,,Last time the sitemap was submitted via API or GSC UI,When did I last tell Google about this sitemap?
isPending,bool,,True if Google hasn't processed yet,Is Google still crawling/processing this sitemap?
isSitemapsIndex,bool,,True if this is a sitemap-of-sitemaps,Does this contain other sitemaps inside it (vs being a leaf sitemap)?
lastDownloaded,datetime,,Last time Googlebot fetched the sitemap file,When did Google last actually read this sitemap?
warnings,int,,Count of non-blocking warnings,Is the sitemap healthy? Anything to fix?
errors,int,,Count of blocking errors,Is the sitemap broken in any way?
contents[].type,string,,web | image | video | news,What kind of URLs does this sitemap declare?
contents[].submitted,int,,Number of URLs declared,How many URLs did I tell Google about?
contents[].indexed,int,,"Of those, how many Google has indexed",What's my submission-to-indexation ratio? Where is Google ignoring my declarations?
,,,,
urlTestingTools.mobileFriendlyTest.run [POST] POST /v1/urlTestingTools/mobileFriendlyTest:run,,,,
On-demand mobile-friendly test. Returns rendering issues and optional screenshot. Note: largely superseded by URL Inspection's mobileUsabilityResult.,,,,
INPUTS,,,,
Name,Type,Required,What it is,Why it matters
url,string,Y,Page URL to test (does not need to be in a verified property),Which page should we test for mobile usability?
requestScreenshot,bool,N,Include rendered mobile screenshot in response,Do I want a visual of how the page looks rendered?
OUTPUTS,,,,
Name,Type,,What it is,Why it matters
mobileFriendliness,string,,MOBILE_FRIENDLY | NOT_MOBILE_FRIENDLY | MOBILE_FRIENDLY_TEST_RESULT_UNSPECIFIED,Bottom line — is this page mobile-friendly?
mobileFriendlyIssues[].rule,string,,USES_INCOMPATIBLE_PLUGINS | CONFIGURE_VIEWPORT | FIXED_WIDTH_VIEWPORT | SIZE_CONTENT_TO_VIEWPORT | USE_LEGIBLE_FONT_SIZES | TAP_TARGETS_TOO_CLOSE,Which specific mobile-friendly rule did the page violate?
resourceIssues[].blockedResource.url,string,,"URLs Googlebot couldn't fetch (blocked CSS, JS, images)","Which resources are being blocked from Googlebot, breaking the rendered view?"
screenshot.mimeType,string,,Usually 'image/png',What format is the screenshot?
screenshot.data,string (base64),,Base64-encoded screenshot bytes,What does the page actually look like rendered? — visual debugging
testStatus.status,string,,COMPLETE | INTERNAL_ERROR | PAGE_UNREACHABLE | TEST_STATUS_UNSPECIFIED,Did the test even run? — needed before trusting other fields
testStatus.details,string,,Error message if test failed,"If the test failed, the specific reason (e.g., 'page not reachable', 'content wider than screen'). Useful for surfacing the fix in a report."
